name,size,score
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.7202646348867668
RSF + GradientBoosting + ComponentwiseGB,3,0.7200560980468912
GradientBoosting + ComponentwiseGB,2,0.7198743623523725
RSF + GradientBoosting + CoxNet,3,0.7197170451133439
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7193080542853962
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7192420227064938
GradientBoosting + CoxNet + ComponentwiseGB,3,0.7192298092068234
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.719180801889518
RSF + GradientBoosting,2,0.7191599037892206
GradientBoosting,1,0.7188647284671489
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.7187036900594186
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.7185581837809173
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.7185351785970692
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7184497307679599
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7183935431960731
RSF + CoxNet + ComponentwiseGB,3,0.7183846847075789
GradientBoosting + CoxNet + ExtraTrees,3,0.7182306214669689
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.7181388218935638
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7180416999383749
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7176589252272827
RSF + GradientBoosting + Cox,3,0.7175371450953181
GradientBoosting + CoxNet,2,0.7173888217686957
GradientBoosting + Cox + ComponentwiseGB,3,0.717320586541658
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.7172299022451832
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7170565483655976
GradientBoosting + ExtraTrees,2,0.7170039998491393
RSF + CoxNet,2,0.716963495981765
RSF + GradientBoosting + Cox + ExtraTrees,4,0.7169621327660652
RSF + GradientBoosting + Cox + CoxNet,4,0.7168684041666661
RSF + ComponentwiseGB,2,0.7167170478473722
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.716466899540264
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7163799325867838
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7163787743458172
RSF + Cox + ComponentwiseGB,3,0.7161580795805154
RSF + Cox + CoxNet + ComponentwiseGB,4,0.716145845700081
RSF + GradientBoosting + ExtraTrees,3,0.7161391860575217
GradientBoosting + Cox + ExtraTrees,3,0.7158920384087971
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.7158314660488707
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7155419677328893
CoxNet + ComponentwiseGB,2,0.7152556102435778
RSF + CoxNet + ExtraTrees,3,0.715169311877015
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7146765151348929
RSF + ExtraTrees + ComponentwiseGB,3,0.7143152537754462
RSF + Cox + CoxNet + ExtraTrees,4,0.7140975392546053
Cox + ExtraTrees + ComponentwiseGB,3,0.7137258550342124
CoxNet + ExtraTrees,2,0.7134199070523718
ExtraTrees + ComponentwiseGB,2,0.7132086113910521
RSF + Cox + CoxNet,3,0.7125987385356507
ComponentwiseGB,1,0.7125667553606057
GradientBoosting + Cox + CoxNet,3,0.7124340196964786
RSF + Cox + ExtraTrees,3,0.7123343771131003
RSF,1,0.7118822072018537
GradientBoosting + Cox,2,0.7117802830566041
Cox + CoxNet + ComponentwiseGB,3,0.7113769683687552
RSF + Cox,2,0.7108817252840123
Cox + CoxNet + ExtraTrees,3,0.710330601485485
Cox + ComponentwiseGB,2,0.709906617858865
RSF + ExtraTrees,2,0.7092111467623301
Cox + ExtraTrees,2,0.7069138923924412
CoxNet,1,0.706548641664413
ExtraTrees,1,0.703737678440797
Cox + CoxNet,2,0.7002626324156567
Cox,1,0.6834288321511195
