name,size,score
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.7223155353336631
RSF + GradientBoosting + ComponentwiseGB,3,0.72213892049511
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7219336080779821
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7216222695924202
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.7215560505501682
RSF + CoxNet + ComponentwiseGB,3,0.7214878343474744
GradientBoosting + ComponentwiseGB,2,0.7214380326851176
RSF + GradientBoosting + CoxNet,3,0.7213627833111748
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7211632731000269
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.7210842131977179
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7210433035150915
GradientBoosting + CoxNet + ComponentwiseGB,3,0.7209960642345284
RSF + GradientBoosting,2,0.7208636328089884
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.7207045541606796
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7206706284409676
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.7205501441410265
RSF + ComponentwiseGB,2,0.7205138838940667
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7204920426105053
RSF + GradientBoosting + Cox,3,0.7203754201792602
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.7202991541157188
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7202874406124886
RSF + GradientBoosting + Cox + ExtraTrees,4,0.72028651149399
RSF + Cox + ComponentwiseGB,3,0.7202462636988167
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7202253291945621
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7201849329627373
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7201616986134735
RSF + CoxNet,2,0.7201364508663594
GradientBoosting + CoxNet + ExtraTrees,3,0.7199935065111112
RSF + GradientBoosting + Cox + CoxNet,4,0.7197100870422727
GradientBoosting + Cox + ComponentwiseGB,3,0.719582988969706
RSF + Cox + CoxNet + ComponentwiseGB,4,0.7195566055893039
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7194042770472378
GradientBoosting + Cox + ExtraTrees,3,0.7189692593237572
GradientBoosting + CoxNet,2,0.7189263645848274
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.7188565519744539
GradientBoosting,1,0.7188479666079822
RSF + CoxNet + ExtraTrees,3,0.7188122349849659
RSF + GradientBoosting + ExtraTrees,3,0.7187222180466448
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.7184991341652623
RSF + Cox + CoxNet + ExtraTrees,4,0.7184920522710765
GradientBoosting + ExtraTrees,2,0.7184295899573466
Cox + ExtraTrees + ComponentwiseGB,3,0.718292469936958
RSF + ExtraTrees + ComponentwiseGB,3,0.7182754858644456
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7182607844039425
CoxNet + ComponentwiseGB,2,0.7180898325420041
RSF + Cox + ExtraTrees,3,0.7177533051541578
ExtraTrees + ComponentwiseGB,2,0.7172847945038074
CoxNet + ExtraTrees,2,0.7168242789483571
RSF,1,0.7168066191909692
RSF + Cox + CoxNet,3,0.716733460767469
ComponentwiseGB,1,0.716500935404439
RSF + Cox,2,0.7161611981526074
GradientBoosting + Cox + CoxNet,3,0.7148800491869912
Cox + CoxNet + ComponentwiseGB,3,0.7148411186909773
Cox + CoxNet + ExtraTrees,3,0.7147036686832157
GradientBoosting + Cox,2,0.7143542239233871
Cox + ComponentwiseGB,2,0.7138451128625951
RSF + ExtraTrees,2,0.7138291885897111
Cox + ExtraTrees,2,0.7129781177749787
CoxNet,1,0.710126351835581
ExtraTrees,1,0.7086528666147377
Cox + CoxNet,2,0.7052517365311779
Cox,1,0.6900979581756489
