name,size,score
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7216043682086511
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.7211762082340588
RSF + GradientBoosting + CoxNet,3,0.7207206362788561
RSF + GradientBoosting + Cox,3,0.7206413916749875
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.7205990082731193
GradientBoosting + ComponentwiseGB,2,0.7205099973284621
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.7203812029726543
RSF + GradientBoosting + ComponentwiseGB,3,0.7203595569356316
GradientBoosting + CoxNet + ComponentwiseGB,3,0.720289484397079
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.72024969043805
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7201722124698491
GradientBoosting + Cox + ComponentwiseGB,3,0.7201320720652093
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7199745672464856
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7199368762231327
RSF + Cox + ComponentwiseGB,3,0.7197618096775126
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7195749766425277
RSF + CoxNet + ComponentwiseGB,3,0.7195166630320482
RSF + GradientBoosting + Cox + CoxNet,4,0.71940387808227
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.7193887450542882
RSF + GradientBoosting,2,0.7193619543367303
RSF + GradientBoosting + Cox + ExtraTrees,4,0.7193577540234525
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7192145673895206
GradientBoosting + CoxNet + ExtraTrees,3,0.7191351646260885
GradientBoosting + Cox + ExtraTrees,3,0.7191308239485362
GradientBoosting + CoxNet,2,0.7188720949453374
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.7188558703696842
RSF + Cox + CoxNet + ComponentwiseGB,4,0.7188450794121226
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.718783827151554
RSF + CoxNet,2,0.7185696958007777
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7185606785718885
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7184417464890945
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.7182744511424016
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7181887493889212
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7179236262102943
RSF + Cox,2,0.7177483590852547
GradientBoosting + Cox,2,0.717458539739428
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7174281874626569
Cox + ExtraTrees + ComponentwiseGB,3,0.7173684170540336
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7173193775209296
GradientBoosting + ExtraTrees,2,0.717297093191233
RSF + Cox + CoxNet + ExtraTrees,4,0.7172504018379628
RSF + ComponentwiseGB,2,0.7172389576430759
CoxNet + ComponentwiseGB,2,0.7167765768965196
RSF + Cox + CoxNet,3,0.7165870488029794
RSF + GradientBoosting + ExtraTrees,3,0.7165236972966013
RSF + CoxNet + ExtraTrees,3,0.7164433626009516
RSF + Cox + ExtraTrees,3,0.7163920390149645
GradientBoosting + Cox + CoxNet,3,0.716119840139776
Cox + ComponentwiseGB,2,0.7156740356441821
Cox + CoxNet + ComponentwiseGB,3,0.7149163828807548
CoxNet + ExtraTrees,2,0.7148914591312048
RSF + ExtraTrees + ComponentwiseGB,3,0.7148201706655786
Cox + CoxNet + ExtraTrees,3,0.714277848624969
Cox + ExtraTrees,2,0.7138234200356698
ExtraTrees + ComponentwiseGB,2,0.7136669846970216
ComponentwiseGB,1,0.7130669647539469
RSF + ExtraTrees,2,0.7098284590546747
Cox + CoxNet,2,0.707063897375697
