name,size,score
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7212889657526326
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.7206387587481909
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.720561699312907
RSF + GradientBoosting + Cox,3,0.7205551565063475
RSF + GradientBoosting + CoxNet,3,0.7202648977803771
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.720260135723138
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7201357141573979
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.7201169610423654
GradientBoosting + ComponentwiseGB,2,0.7200040074328387
GradientBoosting + Cox + ComponentwiseGB,3,0.7199998881577439
GradientBoosting + CoxNet + ComponentwiseGB,3,0.7198979788633901
RSF + GradientBoosting + ComponentwiseGB,3,0.7198932950577507
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7198349185018967
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7196219142057061
RSF + GradientBoosting + Cox + ExtraTrees,4,0.7195813829160645
RSF + Cox + ComponentwiseGB,3,0.7195804729181466
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7195588190822523
GradientBoosting + Cox + ExtraTrees,3,0.7195345232507192
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.7193270537696407
GradientBoosting,1,0.7192877378048412
GradientBoosting + CoxNet + ExtraTrees,3,0.7192008039661946
RSF + GradientBoosting,2,0.7190743683850805
RSF + GradientBoosting + Cox + CoxNet,4,0.719068456724396
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7189249003708923
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.7188526368253566
RSF + CoxNet + ComponentwiseGB,3,0.718769645488524
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7185580702903611
GradientBoosting + CoxNet,2,0.7184776366393931
RSF + Cox + CoxNet + ComponentwiseGB,4,0.7184526388580295
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.7183701140659925
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7183572578963237
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.7183238250644368
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7181732185551131
Cox + ExtraTrees + ComponentwiseGB,3,0.7178823230506926
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7176644166781454
RSF + CoxNet,2,0.7176331204960772
GradientBoosting + ExtraTrees,2,0.7175072986105814
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7174554949237681
CoxNet + ExtraTrees + ComponentwiseGB,3,0.71727921287481
RSF + Cox + CoxNet + ExtraTrees,4,0.7171335357148987
RSF + Cox,2,0.7170746176322282
GradientBoosting + Cox,2,0.7168346326353495
RSF + Cox + ExtraTrees,3,0.7167302480591433
RSF + ComponentwiseGB,2,0.7166769693273457
RSF + GradientBoosting + ExtraTrees,3,0.7164108288294466
CoxNet + ComponentwiseGB,2,0.7162179868443493
RSF + CoxNet + ExtraTrees,3,0.7159209053812665
RSF + Cox + CoxNet,3,0.7158736059804597
Cox + ComponentwiseGB,2,0.7154539119988468
GradientBoosting + Cox + CoxNet,3,0.7154212181572706
CoxNet + ExtraTrees,2,0.7148687035408602
RSF + ExtraTrees + ComponentwiseGB,3,0.7144481055548896
Cox + CoxNet + ComponentwiseGB,3,0.7143929009495089
Cox + CoxNet + ExtraTrees,3,0.7141442136460164
Cox + ExtraTrees,2,0.7140627383539905
ExtraTrees + ComponentwiseGB,2,0.713850076316056
ComponentwiseGB,1,0.7126996695366514
RSF,1,0.7117403074011468
RSF + ExtraTrees,2,0.7097841193582248
CoxNet,1,0.7084816336609716
Cox + CoxNet,2,0.7055683314745731
ExtraTrees,1,0.704779893483514
Cox,1,0.6984979844521281
