name,size,score
Cox + RSF + GradientBoosting + ComponentwiseGB,4,0.721780783949281
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.7210063832544198
Cox + RSF + GradientBoosting,3,0.7208702589352288
Cox + RSF + GradientBoosting + CoxNet + ComponentwiseGB,5,0.7208589892007484
Cox + GradientBoosting + ComponentwiseGB,3,0.7206391853682313
GradientBoosting + CoxNet + ComponentwiseGB,3,0.7206077931961745
RSF + GradientBoosting + CoxNet,3,0.7205049917602412
GradientBoosting + ComponentwiseGB,2,0.7204989575296875
Cox + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7203751918567798
RSF + GradientBoosting + ComponentwiseGB,3,0.7203673033926657
Cox + RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7202602473256825
Cox + RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,5,0.7202059618546613
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.720060999758351
Cox + RSF + ComponentwiseGB,3,0.72005329216156
Cox + RSF + GradientBoosting + CoxNet,4,0.7200371956606608
Cox + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7198037397203677
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7197539130837542
RSF + CoxNet + ComponentwiseGB,3,0.7194835540548657
Cox + RSF + GradientBoosting + CoxNet + ExtraTrees,5,0.7194635243884043
Cox + GradientBoosting + CoxNet + ComponentwiseGB,4,0.7193380006562434
Cox + RSF + CoxNet + ComponentwiseGB,4,0.7192710163607416
Cox + RSF + GradientBoosting + ExtraTrees,4,0.7192601266932843
Cox + GradientBoosting + ExtraTrees,3,0.7191626629484157
RSF + GradientBoosting,2,0.7190835312987817
GradientBoosting + CoxNet + ExtraTrees,3,0.7190165476392268
GradientBoosting + CoxNet,2,0.7189487695028398
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.7188929865006792
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7188846769284053
Cox + GradientBoosting + CoxNet + ExtraTrees,4,0.7187732693625495
Cox + RSF + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7187418974283991
RSF + CoxNet,2,0.7183443921170012
Cox + RSF + ExtraTrees + ComponentwiseGB,4,0.7182399426795203
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7180766299539051
Cox + RSF,2,0.7179153916313243
Cox + GradientBoosting,2,0.717820067332285
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7175707068892145
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7175628423515727
Cox + ExtraTrees + ComponentwiseGB,3,0.7174644044682429
Cox + RSF + CoxNet + ExtraTrees,4,0.7173383253353454
RSF + ComponentwiseGB,2,0.7172856968947403
CoxNet + ComponentwiseGB,2,0.717251332554835
Cox + RSF + CoxNet,3,0.717234853447793
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7172044019964388
GradientBoosting + ExtraTrees,2,0.7169000026583618
Cox + GradientBoosting + CoxNet,3,0.7166823738528065
Cox + ComponentwiseGB,2,0.7164955067428688
Cox + RSF + ExtraTrees,3,0.7161162626946151
RSF + GradientBoosting + ExtraTrees,3,0.7161147202203753
Cox + CoxNet + ComponentwiseGB,3,0.7159419991404219
RSF + CoxNet + ExtraTrees,3,0.7158063406696319
Cox + CoxNet + ExtraTrees,3,0.7148571312190712
CoxNet + ExtraTrees,2,0.7145984767141424
RSF + ExtraTrees + ComponentwiseGB,3,0.7143914571617651
ComponentwiseGB,1,0.7140365040685355
Cox + ExtraTrees,2,0.7136989679507889
ExtraTrees + ComponentwiseGB,2,0.7136015237860295
RSF + ExtraTrees,2,0.7091386620667084
Cox + CoxNet,2,0.7080988526009854
