name,size,score
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7205366934641847
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.720244292591942
GradientBoosting + ComponentwiseGB,2,0.720116944701981
RSF + GradientBoosting + ComponentwiseGB,3,0.719748109783154
RSF + GradientBoosting + Cox,3,0.7196248124731913
GradientBoosting + Cox + ComponentwiseGB,3,0.7196202125297073
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.719605193997278
RSF + GradientBoosting + CoxNet,3,0.7195873134442954
GradientBoosting + CoxNet + ComponentwiseGB,3,0.7195700267963011
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.7193033116902253
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.7191599915364731
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.719025887681331
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7189633156328666
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7189297477270276
RSF + Cox + ComponentwiseGB,3,0.7186132312542914
RSF + CoxNet + ComponentwiseGB,3,0.7185752557269112
RSF + GradientBoosting + Cox + CoxNet,4,0.7185730161776775
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7185060893201547
RSF + GradientBoosting,2,0.7183974690334965
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.7182296526375431
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.7181530055323168
GradientBoosting + CoxNet + ExtraTrees,3,0.7181510211601281
RSF + GradientBoosting + Cox + ExtraTrees,4,0.7181019324375764
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.718066851135415
GradientBoosting + Cox + ExtraTrees,3,0.7180460762891621
GradientBoosting + CoxNet,2,0.7179781626190415
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7179542277458949
RSF + Cox + CoxNet + ComponentwiseGB,4,0.7177574672665515
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7175320886922999
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.717439152857528
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7174228861835205
RSF + CoxNet,2,0.7173805286497644
GradientBoosting + Cox,2,0.7172317497890615
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7169693628648527
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7167934393431343
RSF + ComponentwiseGB,2,0.7167282466102586
RSF + Cox,2,0.7167275782567873
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7164074533112313
Cox + ExtraTrees + ComponentwiseGB,3,0.7163972301175477
GradientBoosting + ExtraTrees,2,0.7161697201645776
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7161284422349519
CoxNet + ComponentwiseGB,2,0.7159886248577955
RSF + Cox + CoxNet + ExtraTrees,4,0.7157974761013678
RSF + Cox + CoxNet,3,0.7156987067653001
GradientBoosting + Cox + CoxNet,3,0.7155475877174419
Cox + ComponentwiseGB,2,0.7154441359402987
RSF + GradientBoosting + ExtraTrees,3,0.715272073880158
RSF + CoxNet + ExtraTrees,3,0.7147808292414409
RSF + Cox + ExtraTrees,3,0.7146262521171914
Cox + CoxNet + ComponentwiseGB,3,0.7144321103412701
RSF + ExtraTrees + ComponentwiseGB,3,0.7139046488342214
CoxNet + ExtraTrees,2,0.7135599627505995
ComponentwiseGB,1,0.7135367726033127
Cox + CoxNet + ExtraTrees,3,0.7134682748171572
ExtraTrees + ComponentwiseGB,2,0.7131812794501666
Cox + ExtraTrees,2,0.712697807321955
RSF + ExtraTrees,2,0.708280039514891
Cox + CoxNet,2,0.7075062389762689
