name,size,score
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7218571324791013
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.721450008463082
RSF + GradientBoosting + Cox,3,0.7210900307767303
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.7210839949327971
GradientBoosting + ComponentwiseGB,2,0.7210458231819389
GradientBoosting + Cox + ComponentwiseGB,3,0.7210186622022423
RSF + GradientBoosting + CoxNet,3,0.7208532282234822
GradientBoosting + CoxNet + ComponentwiseGB,3,0.7208393340475026
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.7208174997950303
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.720778900809323
RSF + GradientBoosting + ComponentwiseGB,3,0.7206385809770015
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7205495646415371
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7203621961173223
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7201526351493769
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7201049674185518
RSF + GradientBoosting + Cox + CoxNet,4,0.7200886447228623
RSF + Cox + ComponentwiseGB,3,0.7200132801405905
GradientBoosting + Cox + ExtraTrees,3,0.7198995611745469
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.7198878759054557
RSF + GradientBoosting + Cox + ExtraTrees,4,0.7196542653514411
RSF + CoxNet + ComponentwiseGB,3,0.7196508577746998
GradientBoosting + CoxNet + ExtraTrees,3,0.7195846468706931
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.7195570536243395
RSF + GradientBoosting,2,0.7194296478945318
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.719381549524511
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7193484291046166
RSF + Cox + CoxNet + ComponentwiseGB,4,0.7193463449618737
GradientBoosting + CoxNet,2,0.7193331858085953
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.7190781401287847
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7189264076800282
RSF + CoxNet,2,0.7186452356108523
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7186026700552054
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7185145530027133
RSF + Cox,2,0.7180299723617438
GradientBoosting + Cox,2,0.7180250486375636
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7180192644829576
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7179332449772513
Cox + ExtraTrees + ComponentwiseGB,3,0.7178875316579743
RSF + Cox + CoxNet + ExtraTrees,4,0.7177310208802811
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7176827146736815
GradientBoosting + ExtraTrees,2,0.7175758446965151
CoxNet + ComponentwiseGB,2,0.7175086898648438
RSF + ComponentwiseGB,2,0.7174694630837414
RSF + Cox + CoxNet,3,0.7172761995801901
GradientBoosting + Cox + CoxNet,3,0.7168934402599465
RSF + GradientBoosting + ExtraTrees,3,0.7166770165001034
RSF + Cox + ExtraTrees,3,0.71648516887997
Cox + ComponentwiseGB,2,0.7164702540853062
RSF + CoxNet + ExtraTrees,3,0.7162152171204131
Cox + CoxNet + ComponentwiseGB,3,0.7159206527017591
Cox + CoxNet + ExtraTrees,3,0.7152370798663824
CoxNet + ExtraTrees,2,0.7152112644993602
RSF + ExtraTrees + ComponentwiseGB,3,0.7148102111049421
Cox + ExtraTrees,2,0.7143663937341629
ExtraTrees + ComponentwiseGB,2,0.7141863150509065
ComponentwiseGB,1,0.7141772759838394
RSF + ExtraTrees,2,0.709615184300215
Cox + CoxNet,2,0.7081499601041547
