name,size,score
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7215617656334306
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.7210936526146215
RSF + GradientBoosting + CoxNet,3,0.7208013716290078
RSF + GradientBoosting + Cox,3,0.7208006928232416
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.7204907331504657
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.7203670150621693
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.7202849485146696
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7202546802830943
RSF + GradientBoosting + ComponentwiseGB,3,0.7202539936952221
GradientBoosting + CoxNet + ComponentwiseGB,3,0.720189439484131
GradientBoosting + Cox + ComponentwiseGB,3,0.7201375850449527
GradientBoosting + ComponentwiseGB,2,0.7200674929173425
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7199011637220354
RSF + Cox + ComponentwiseGB,3,0.7198990856234909
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7197529093975444
RSF + GradientBoosting,2,0.7196597997331846
GradientBoosting,1,0.7196236411800443
RSF + GradientBoosting + Cox + ExtraTrees,4,0.7196179375132085
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.719570176911623
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.7195228183441937
RSF + GradientBoosting + Cox + CoxNet,4,0.7195201624912072
RSF + CoxNet + ComponentwiseGB,3,0.7193838174083059
GradientBoosting + Cox + ExtraTrees,3,0.7193575080076856
GradientBoosting + CoxNet + ExtraTrees,3,0.7191792229778
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7191455290910819
GradientBoosting + CoxNet,2,0.7188796525560689
RSF + Cox + CoxNet + ComponentwiseGB,4,0.7188331268096878
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.7188313927763142
RSF + CoxNet,2,0.7186837697060469
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.7186518475005756
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7186304069492399
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.7183558125923665
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7183403931151221
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7183371316798527
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.717828338712492
RSF + Cox,2,0.7176758698186007
Cox + ExtraTrees + ComponentwiseGB,3,0.7174916906024754
GradientBoosting + ExtraTrees,2,0.7174250481807459
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7173040560792842
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7172998317593574
RSF + Cox + CoxNet + ExtraTrees,4,0.7171695690241309
GradientBoosting + Cox,2,0.7170506344451244
RSF + ComponentwiseGB,2,0.7170264329143476
RSF + GradientBoosting + ExtraTrees,3,0.7166391633326852
RSF + Cox + ExtraTrees,3,0.7165554650991623
CoxNet + ComponentwiseGB,2,0.7164954637282603
RSF + CoxNet + ExtraTrees,3,0.7163628921553724
RSF + Cox + CoxNet,3,0.7163280922667922
GradientBoosting + Cox + CoxNet,3,0.7156714295904623
Cox + ComponentwiseGB,2,0.7154734625201308
RSF + ExtraTrees + ComponentwiseGB,3,0.714787074190529
CoxNet + ExtraTrees,2,0.7147658280415009
Cox + CoxNet + ComponentwiseGB,3,0.7145327243116981
Cox + CoxNet + ExtraTrees,3,0.7141243723011685
Cox + ExtraTrees,2,0.7139373861556173
ExtraTrees + ComponentwiseGB,2,0.7135225930619731
RSF,1,0.7128312582704568
ComponentwiseGB,1,0.7126996695366514
RSF + ExtraTrees,2,0.7100462646467985
CoxNet,1,0.7091422977901818
Cox + CoxNet,2,0.7061734619447806
ExtraTrees,1,0.7044170594307549
Cox,1,0.6996375711561635
