name,size,score
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7217374554427219
RSF + GradientBoosting + Cox,3,0.7212205512100287
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.7211243375231728
RSF + GradientBoosting + CoxNet,3,0.7209159442911622
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.7207806258870332
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.7206890152981098
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.7206071927560477
RSF + GradientBoosting + ComponentwiseGB,3,0.7204970802452354
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7204752029351487
GradientBoosting + ComponentwiseGB,2,0.7204555060397079
GradientBoosting + Cox + ComponentwiseGB,3,0.7204491654157249
GradientBoosting + CoxNet + ComponentwiseGB,3,0.7202160691896244
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.720078159726296
RSF + Cox + ComponentwiseGB,3,0.7200619689124147
RSF + GradientBoosting + Cox + ExtraTrees,4,0.7199694353756754
GradientBoosting + Cox + ExtraTrees,3,0.7199159212094607
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.719906834223623
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7198905305146893
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.7198536330509643
RSF + GradientBoosting + Cox + CoxNet,4,0.7198394409856502
RSF + GradientBoosting,2,0.7196454866826877
GradientBoosting + CoxNet + ExtraTrees,3,0.7195049753885159
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7194031742339551
RSF + CoxNet + ComponentwiseGB,3,0.7193960250542016
GradientBoosting + CoxNet,2,0.7191057663717593
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.719006348565615
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.7190021532929097
RSF + Cox + CoxNet + ComponentwiseGB,4,0.7189876792873273
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7188031607422863
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.7187216960139726
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7186848881645408
RSF + CoxNet,2,0.7185931848309894
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7184947490675668
RSF + Cox,2,0.7184121601862296
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7179689287729016
GradientBoosting + Cox,2,0.7178753106553345
Cox + ExtraTrees + ComponentwiseGB,3,0.7178679000633861
RSF + Cox + CoxNet + ExtraTrees,4,0.7176418784811687
GradientBoosting + ExtraTrees,2,0.7176279731681238
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7175592963717512
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7173593134758552
RSF + ComponentwiseGB,2,0.7171616707274977
RSF + Cox + ExtraTrees,3,0.7171444852618301
RSF + Cox + CoxNet,3,0.7168343104787581
RSF + GradientBoosting + ExtraTrees,3,0.7167765886763378
CoxNet + ComponentwiseGB,2,0.7166339754244202
RSF + CoxNet + ExtraTrees,3,0.7165440806395155
GradientBoosting + Cox + CoxNet,3,0.7163551308180365
Cox + ComponentwiseGB,2,0.7157923049459672
CoxNet + ExtraTrees,2,0.7151086230625634
Cox + CoxNet + ComponentwiseGB,3,0.7149581079074213
RSF + ExtraTrees + ComponentwiseGB,3,0.71491769330307
Cox + ExtraTrees,2,0.7147768665512707
Cox + CoxNet + ExtraTrees,3,0.7147480431991831
ExtraTrees + ComponentwiseGB,2,0.7137879669065109
ComponentwiseGB,1,0.7131630912698628
RSF + ExtraTrees,2,0.7102928173003812
Cox + CoxNet,2,0.7071588679789405
